"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"abundance-birdcage-on-black","Birdcage On Black","<p>Birdcage On Black pattern from our Abundance collection. Pattern #01-01-101A. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-101A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/birdcage-on-black.jpg?v=1772126716","1","Birdcage On Black pattern thumbnail","Birdcage On Black - Abundance Collection | ColorFlex Wallpaper","Birdcage On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","birdcage-on-black","0","","24x36","half-drop","","01-01-101A","01","101","A",""
"abundance-birdcage-on-ivory","Birdcage On Ivory","<p>Birdcage On Ivory pattern from our Abundance collection. Pattern #01-01-101D. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-101D-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/birdcage-on-ivory.jpg?v=1772126720","","","Birdcage On Ivory - Abundance Collection | ColorFlex Wallpaper","Birdcage On Ivory pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","birdcage-on-ivory","0","","24x36","half-drop","","01-01-101D","01","101","D",""
"abundance-blubirds-on-black","Blubirds On Black","<p>Blubirds On Black pattern from our Abundance collection. Pattern #01-01-102A. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-102A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/blubirds-on-black.jpg?v=1772126740","1","Blubirds On Black pattern thumbnail","Blubirds On Black - Abundance Collection | ColorFlex Wallpaper","Blubirds On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","blubirds-on-black","0","","24x36","half-drop","","01-01-102A","01","102","A",""
"abundance-blubirds-on-black","Blubirds On Black","<p>Blubirds On Black pattern from our Abundance collection. Pattern #01-01-102A. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-102A-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/blubirds-on-black.jpg?v=1772126740","","","Blubirds On Black - Abundance Collection | ColorFlex Wallpaper","Blubirds On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","blubirds-on-black","0","","24x36","half-drop","","01-01-102A","01","102","A",""
"abundance-blubirds-on-black","Blubirds On Black","<p>Blubirds On Black pattern from our Abundance collection. Pattern #01-01-102A. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-102A-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/blubirds-on-black.jpg?v=1772126740","","","Blubirds On Black - Abundance Collection | ColorFlex Wallpaper","Blubirds On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","blubirds-on-black","0","","24x36","half-drop","","01-01-102A","01","102","A",""
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","ColorFlex Pattern","abundance, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-01-102B-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bluebirds-on-ice.jpg?v=1772126705","1","Bluebirds On Ice pattern thumbnail","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B",""
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Abundance","Home & Garden > Decor","ColorFlex Pattern","abundance, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-01-102B-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bluebirds-on-ice.jpg?v=1772126705","","","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B",""
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Abundance","Home & Garden > Decor","ColorFlex Pattern","abundance, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-01-102B-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bluebirds-on-ice.jpg?v=1772126705","","","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B",""
"abundance-cornflower-blue","Cornflower Blue","<p>Cornflower Blue pattern from our Abundance collection. Pattern #01-01-103. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/cornflower-blue.jpg?v=1772126710","1","Cornflower Blue pattern thumbnail","Cornflower Blue - Abundance Collection | ColorFlex Wallpaper","Cornflower Blue pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","cornflower-blue","0","","24x36","half-drop","","01-01-103","01","103","",""
"abundance-cornflower-blue","Cornflower Blue","<p>Cornflower Blue pattern from our Abundance collection. Pattern #01-01-103. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/cornflower-blue.jpg?v=1772126710","","","Cornflower Blue - Abundance Collection | ColorFlex Wallpaper","Cornflower Blue pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","cornflower-blue","0","","24x36","half-drop","","01-01-103","01","103","",""
"abundance-cornflower-blue","Cornflower Blue","<p>Cornflower Blue pattern from our Abundance collection. Pattern #01-01-103. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-103-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/cornflower-blue.jpg?v=1772126710","","","Cornflower Blue - Abundance Collection | ColorFlex Wallpaper","Cornflower Blue pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","cornflower-blue","0","","24x36","half-drop","","01-01-103","01","103","",""
"abundance-pink-tulip","Pink Tulip","<p>Pink Tulip pattern from our Abundance collection. Pattern #01-01-104A. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-104A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip.jpg?v=1772126709","1","Pink Tulip pattern thumbnail","Pink Tulip - Abundance Collection | ColorFlex Wallpaper","Pink Tulip pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip","0","","24x36","half-drop","","01-01-104A","01","104","A",""
"abundance-pink-tulip","Pink Tulip","<p>Pink Tulip pattern from our Abundance collection. Pattern #01-01-104A. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-104A-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip.jpg?v=1772126709","","","Pink Tulip - Abundance Collection | ColorFlex Wallpaper","Pink Tulip pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip","0","","24x36","half-drop","","01-01-104A","01","104","A",""
"abundance-pink-tulip","Pink Tulip","<p>Pink Tulip pattern from our Abundance collection. Pattern #01-01-104A. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-104A-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip.jpg?v=1772126709","","","Pink Tulip - Abundance Collection | ColorFlex Wallpaper","Pink Tulip pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip","0","","24x36","half-drop","","01-01-104A","01","104","A",""
"abundance-pink-tulip-on-shell","Pink Tulip On Shell","<p>Pink Tulip On Shell pattern from our Abundance collection. Pattern #01-01-104B. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-104B-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip-on-shell.jpg?v=1772126706","1","Pink Tulip On Shell pattern thumbnail","Pink Tulip On Shell - Abundance Collection | ColorFlex Wallpaper","Pink Tulip On Shell pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip-on-shell","0","","24x36","half-drop","","01-01-104B","01","104","B",""
"abundance-pink-tulip-on-shell","Pink Tulip On Shell","<p>Pink Tulip On Shell pattern from our Abundance collection. Pattern #01-01-104B. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-104B-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip-on-shell.jpg?v=1772126706","","","Pink Tulip On Shell - Abundance Collection | ColorFlex Wallpaper","Pink Tulip On Shell pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip-on-shell","0","","24x36","half-drop","","01-01-104B","01","104","B",""
"abundance-pink-tulip-on-shell","Pink Tulip On Shell","<p>Pink Tulip On Shell pattern from our Abundance collection. Pattern #01-01-104B. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-104B-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip-on-shell.jpg?v=1772126706","","","Pink Tulip On Shell - Abundance Collection | ColorFlex Wallpaper","Pink Tulip On Shell pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip-on-shell","0","","24x36","half-drop","","01-01-104B","01","104","B",""
"abundance-regal-reds","Regal Reds","<p>Regal Reds pattern from our Abundance collection. Pattern #01-01-105. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-105-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/regal-reds.jpg?v=1772126741","1","Regal Reds pattern thumbnail","Regal Reds - Abundance Collection | ColorFlex Wallpaper","Regal Reds pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","regal-reds","0","","24x36","half-drop","","01-01-105","01","105","",""
"abundance-regal-reds","Regal Reds","<p>Regal Reds pattern from our Abundance collection. Pattern #01-01-105. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-105-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/regal-reds.jpg?v=1772126741","","","Regal Reds - Abundance Collection | ColorFlex Wallpaper","Regal Reds pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","regal-reds","0","","24x36","half-drop","","01-01-105","01","105","",""
"abundance-regal-reds","Regal Reds","<p>Regal Reds pattern from our Abundance collection. Pattern #01-01-105. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-105-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/regal-reds.jpg?v=1772126741","","","Regal Reds - Abundance Collection | ColorFlex Wallpaper","Regal Reds pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","regal-reds","0","","24x36","half-drop","","01-01-105","01","105","",""
"abundance-white-poppy","White Poppy","<p>White Poppy pattern from our Abundance collection. Pattern #01-01-106. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Abundance","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-106-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/white-poppy.jpg?v=1772126738","1","White Poppy pattern thumbnail","White Poppy - Abundance Collection | ColorFlex Wallpaper","White Poppy pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","white-poppy","0","","24x36","half-drop","","01-01-106","01","106","",""
