"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"botanicals-neptune-s-garden","Neptune's Garden","<p>Neptune's Garden pattern from our Botanicals collection. Pattern #01-06-109. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-109-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/neptune's-garden.jpg","1","Neptune's Garden pattern thumbnail","Neptune's Garden - Botanicals Collection | ColorFlex Wallpaper","Neptune's Garden pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","neptune's-garden","1","Pattern","24x24","half-drop","SW6214 UNDERSEAS,SC0001 COTTAGE LINEN","01-06-109","06","109",""
"botanicals-botanical-stems","Botanical Stems","<p>Botanical Stems pattern from our Botanicals collection. Pattern #01-06-108. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-108-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/botanical-stems.jpg","","","Botanical Stems - Botanicals Collection | ColorFlex Wallpaper","Botanical Stems pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","botanical-stems","1","Layer 1","24x24","half-drop","NAVAL,SC0001 COTTAGE LINEN","01-06-108","06","108",""
"botanicals-tall-lilly-plant","Tall Lilly Plant","<p>Tall Lilly Plant pattern from our Botanicals collection. Pattern #01-06-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/tall-lilly-plant.jpg","1","Tall Lilly Plant pattern thumbnail","Tall Lilly Plant - Botanicals Collection | ColorFlex Wallpaper","Tall Lilly Plant pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","tall-lilly-plant","4","Texture,Plants,Flowers,Flower Centers","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW7726 LEMON VERBENA,SW6135 ECRU,SW0033 REMBRANDT RUBY","01-06-104","06","104",""
"botanicals-tall-lilly-plant","Tall Lilly Plant","<p>Tall Lilly Plant pattern from our Botanicals collection. Pattern #01-06-104. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-104-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/tall-lilly-plant.jpg","","","Tall Lilly Plant - Botanicals Collection | ColorFlex Wallpaper","Tall Lilly Plant pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","tall-lilly-plant","4","Texture,Plants,Flowers,Flower Centers","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW7726 LEMON VERBENA,SW6135 ECRU,SW0033 REMBRANDT RUBY","01-06-104","06","104",""
"botanicals-tall-lilly-plant","Tall Lilly Plant","<p>Tall Lilly Plant pattern from our Botanicals collection. Pattern #01-06-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-104-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/tall-lilly-plant.jpg","","","Tall Lilly Plant - Botanicals Collection | ColorFlex Wallpaper","Tall Lilly Plant pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","tall-lilly-plant","4","Texture,Plants,Flowers,Flower Centers","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW7726 LEMON VERBENA,SW6135 ECRU,SW0033 REMBRANDT RUBY","01-06-104","06","104",""
"botanicals-shadow-dance","Shadow Dance","<p>Shadow Dance pattern from our Botanicals collection. Pattern #01-06-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/shadow-dance.jpg","1","Shadow Dance pattern thumbnail","Shadow Dance - Botanicals Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","shadow-dance","2","Shadows,Flower","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW0043 PERISTYLE BRASS","01-06-103","06","103",""
"botanicals-shadow-dance","Shadow Dance","<p>Shadow Dance pattern from our Botanicals collection. Pattern #01-06-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/shadow-dance.jpg","","","Shadow Dance - Botanicals Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","shadow-dance","2","Shadows,Flower","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW0043 PERISTYLE BRASS","01-06-103","06","103",""
"botanicals-shadow-dance","Shadow Dance","<p>Shadow Dance pattern from our Botanicals collection. Pattern #01-06-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-103-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/shadow-dance.jpg","","","Shadow Dance - Botanicals Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","shadow-dance","2","Shadows,Flower","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW0043 PERISTYLE BRASS","01-06-103","06","103",""
"botanicals-key-largo","Key Largo","<p>Key Largo pattern from our Botanicals collection. Pattern #01-06-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-105-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/key-largo.jpg","1","Key Largo pattern thumbnail","Key Largo - Botanicals Collection | ColorFlex Wallpaper","Key Largo pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","key-largo","6","Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf","24x24","half-drop","SW6216 JASPER,SW6215 ROCKY RIVER,SW6214 UNDERSEAS,SW9133 JASPER STONE,SW6213 HALCYON GREEN,SW6212 QUIETUDE,SW6211 RAINWASHED","01-06-105","06","105",""
"botanicals-key-largo","Key Largo","<p>Key Largo pattern from our Botanicals collection. Pattern #01-06-105. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-105-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/key-largo.jpg","","","Key Largo - Botanicals Collection | ColorFlex Wallpaper","Key Largo pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","key-largo","6","Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf","24x24","half-drop","SW6216 JASPER,SW6215 ROCKY RIVER,SW6214 UNDERSEAS,SW9133 JASPER STONE,SW6213 HALCYON GREEN,SW6212 QUIETUDE,SW6211 RAINWASHED","01-06-105","06","105",""
"botanicals-key-largo","Key Largo","<p>Key Largo pattern from our Botanicals collection. Pattern #01-06-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-105-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/key-largo.jpg","","","Key Largo - Botanicals Collection | ColorFlex Wallpaper","Key Largo pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","key-largo","6","Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf","24x24","half-drop","SW6216 JASPER,SW6215 ROCKY RIVER,SW6214 UNDERSEAS,SW9133 JASPER STONE,SW6213 HALCYON GREEN,SW6212 QUIETUDE,SW6211 RAINWASHED","01-06-105","06","105",""
"botanicals-scottish-thistle","Scottish Thistle","<p>Scottish Thistle pattern from our Botanicals collection. Pattern #01-06-110. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-110-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/scottish-thistle.jpg","1","Scottish Thistle pattern thumbnail","Scottish Thistle - Botanicals Collection | ColorFlex Wallpaper","Scottish Thistle pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","scottish-thistle","1","Design","24x24","half-drop","SW6159 HIGH TEA,SC0001 COTTAGE LINEN","01-06-110","06","110",""
"botanicals-scottish-thistle","Scottish Thistle","<p>Scottish Thistle pattern from our Botanicals collection. Pattern #01-06-110. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-110-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/scottish-thistle.jpg","","","Scottish Thistle - Botanicals Collection | ColorFlex Wallpaper","Scottish Thistle pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","scottish-thistle","1","Design","24x24","half-drop","SW6159 HIGH TEA,SC0001 COTTAGE LINEN","01-06-110","06","110",""
"botanicals-scottish-thistle","Scottish Thistle","<p>Scottish Thistle pattern from our Botanicals collection. Pattern #01-06-110. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-110-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/scottish-thistle.jpg","","","Scottish Thistle - Botanicals Collection | ColorFlex Wallpaper","Scottish Thistle pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","scottish-thistle","1","Design","24x24","half-drop","SW6159 HIGH TEA,SC0001 COTTAGE LINEN","01-06-110","06","110",""
"botanicals-palm-plantation","Palm Plantation","<p>Palm Plantation pattern from our Botanicals collection. Pattern #01-06-113. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-113-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/palm-plantation.jpg","1","Palm Plantation pattern thumbnail","Palm Plantation - Botanicals Collection | ColorFlex Wallpaper","Palm Plantation pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","palm-plantation","1","Pattern","24x24","half-drop","SC0001 COTTAGE LINEN,SW0042 RUSKIN ROOM GREEN","01-06-113","06","113",""
"botanicals-palm-plantation","Palm Plantation","<p>Palm Plantation pattern from our Botanicals collection. Pattern #01-06-113. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-113-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/palm-plantation.jpg","","","Palm Plantation - Botanicals Collection | ColorFlex Wallpaper","Palm Plantation pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","palm-plantation","1","Pattern","24x24","half-drop","SC0001 COTTAGE LINEN,SW0042 RUSKIN ROOM GREEN","01-06-113","06","113",""
"botanicals-palm-plantation","Palm Plantation","<p>Palm Plantation pattern from our Botanicals collection. Pattern #01-06-113. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-113-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/palm-plantation.jpg","","","Palm Plantation - Botanicals Collection | ColorFlex Wallpaper","Palm Plantation pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","palm-plantation","1","Pattern","24x24","half-drop","SC0001 COTTAGE LINEN,SW0042 RUSKIN ROOM GREEN","01-06-113","06","113",""
