"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","custom.base_url","custom.collection","custom.pattern","custom.layer_count","custom.layer_labels","custom.pattern_size","custom.tiling_type","custom.designer_colors","custom.pattern_number","custom.collection_sequence","custom.pattern_sequence","custom.pattern_variant"
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-102B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/bluebirds-on-ice.jpg","1","Bluebirds On Ice pattern thumbnail","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B"
"abundance-stag-white-moth","Stag & White Moth","<p>Stag & White Moth pattern from our Abundance collection. Pattern #01-01-118. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-118","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/stag-&-white-moth.jpg","1","Stag & White Moth pattern thumbnail","Stag & White Moth - Abundance Collection | ColorFlex Wallpaper","Stag & White Moth pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","stag-&-white-moth","0","","24x36","half-drop","","01-01-118","01","118",""
"abundance-peachy-parrots","Peachy Parrots","<p>Peachy Parrots pattern from our Abundance collection. Pattern #01-01-114. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-114","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/peachy-parrots.jpg","1","Peachy Parrots pattern thumbnail","Peachy Parrots - Abundance Collection | ColorFlex Wallpaper","Peachy Parrots pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","peachy-parrots","0","","24x36","half-drop","","01-01-114","01","114",""
"abundance-royal-cranes-on-royal-blue","Royal Cranes On Royal Blue","<p>Royal Cranes On Royal Blue pattern from our Abundance collection. Pattern #01-01-116C. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-116C","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/royal-cranes-on-royal-blue.jpg","1","Royal Cranes On Royal Blue pattern thumbnail","Royal Cranes On Royal Blue - Abundance Collection | ColorFlex Wallpaper","Royal Cranes On Royal Blue pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","royal-cranes-on-royal-blue","0","","24x36","half-drop","","01-01-116C","01","116","C"
"abundance-royal-cranes-on-light-blue","Royal Cranes On Light Blue","<p>Royal Cranes On Light Blue pattern from our Abundance collection. Pattern #01-01-116B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-116B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/royal-cranes-on-light-blue.jpg","1","Royal Cranes On Light Blue pattern thumbnail","Royal Cranes On Light Blue - Abundance Collection | ColorFlex Wallpaper","Royal Cranes On Light Blue pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","royal-cranes-on-light-blue","0","","24x36","half-drop","","01-01-116B","01","116","B"
"abundance-white-doves-on-black","White Doves On Black","<p>White Doves On Black pattern from our Abundance collection. Pattern #01-01-109A. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-109A","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/white-doves-on-black.jpg","1","White Doves On Black pattern thumbnail","White Doves On Black - Abundance Collection | ColorFlex Wallpaper","White Doves On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","white-doves-on-black","0","","24x36","half-drop","","01-01-109A","01","109","A"
"abundance-purple-passion-on-black","Purple Passion On Black","<p>Purple Passion On Black pattern from our Abundance collection. Pattern #01-01-113A. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-113A","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/purple-passion-on-black.jpg","1","Purple Passion On Black pattern thumbnail","Purple Passion On Black - Abundance Collection | ColorFlex Wallpaper","Purple Passion On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","purple-passion-on-black","0","","24x36","straight","","01-01-113A","01","113","A"
"abundance-birdcage-on-green","Birdcage On Green","<p>Birdcage On Green pattern from our Abundance collection. Pattern #01-01-101C. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-101C","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/birdcage-on-green.jpg","1","Birdcage On Green pattern thumbnail","Birdcage On Green - Abundance Collection | ColorFlex Wallpaper","Birdcage On Green pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","birdcage-on-green","0","","24x36","half-drop","","01-01-101C","01","101","C"
"abundance-white-poppy","White Poppy","<p>White Poppy pattern from our Abundance collection. Pattern #01-01-106. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-106","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/white-poppy.jpg","1","White Poppy pattern thumbnail","White Poppy - Abundance Collection | ColorFlex Wallpaper","White Poppy pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","white-poppy","0","","24x36","half-drop","","01-01-106","01","106",""
"abundance-rack-pinecone","Rack & Pinecone","<p>Rack & Pinecone pattern from our Abundance collection. Pattern #01-01-112. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-112","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/rack-&-pinecone.jpg","1","Rack & Pinecone pattern thumbnail","Rack & Pinecone - Abundance Collection | ColorFlex Wallpaper","Rack & Pinecone pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","rack-&-pinecone","0","","24x36","half-drop","","01-01-112","01","112",""
"abundance-blubirds-on-black","Blubirds On Black","<p>Blubirds On Black pattern from our Abundance collection. Pattern #01-01-102A. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-102A","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/blubirds-on-black.jpg","1","Blubirds On Black pattern thumbnail","Blubirds On Black - Abundance Collection | ColorFlex Wallpaper","Blubirds On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","blubirds-on-black","0","","24x36","half-drop","","01-01-102A","01","102","A"
"abundance-regal-reds","Regal Reds","<p>Regal Reds pattern from our Abundance collection. Pattern #01-01-105. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-105","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/regal-reds.jpg","1","Regal Reds pattern thumbnail","Regal Reds - Abundance Collection | ColorFlex Wallpaper","Regal Reds pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","regal-reds","0","","24x36","half-drop","","01-01-105","01","105",""
"abundance-tall-greys","Tall Greys","<p>Tall Greys pattern from our Abundance collection. Pattern #01-01-110A. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-110A","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/tall-greys.jpg","1","Tall Greys pattern thumbnail","Tall Greys - Abundance Collection | ColorFlex Wallpaper","Tall Greys pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","tall-greys","0","","24x36","half-drop","","01-01-110A","01","110","A"
